Wall time,Step,Value
1681051656.246607,100000,318.8827209472656
1681051772.903814,200000,107.15957641601562
1681051891.686723,300000,78.5966567993164
1681052009.0328197,400000,73.22180938720703
1681052127.7795148,500000,69.6746826171875
1681052247.713112,600000,68.05796813964844
1681052366.53263,700000,68.5177230834961
1681052483.375528,800000,68.37682342529297
1681052602.388864,900000,67.1607666015625
1681052722.3719487,1000000,65.98255920410156
1681052838.9747553,1100000,378.65625
1681052950.7427614,1200000,379.3041687011719
1681053068.6027617,1300000,212.7154998779297
1681053185.9014063,1400000,225.67042541503906
1681053301.8321302,1500000,177.109130859375
1681053420.8013234,1600000,171.63870239257812
1681053540.8288171,1700000,130.07652282714844
1681053661.0107448,1800000,129.97625732421875
1681053778.912767,1900000,133.4752960205078
1681053898.9955041,2000000,123.82957458496094
1681054019.166459,2100000,175.95567321777344
1681054139.5536675,2200000,211.46694946289062
1681054256.1576364,2300000,213.20346069335938
1681054375.4037304,2400000,201.90707397460938
1681054494.7092695,2500000,207.34979248046875
1681054612.0387502,2600000,208.4200439453125
1681054730.6816459,2700000,240.25119018554688
1681054850.02973,2800000,237.0823516845703
1681054968.9868562,2900000,232.5768280029297
1681055085.8227673,3000000,221.7841339111328
1681055205.8049166,3100000,196.43849182128906
1681055324.4119406,3200000,229.41079711914062
1681055442.829418,3300000,290.0749206542969
1681055559.2483315,3400000,202.89634704589844
1681055678.816403,3500000,257.9820556640625
1681055797.8717265,3600000,224.3018035888672
1681055916.0791614,3700000,206.6569061279297
1681056034.4587572,3800000,271.6556396484375
1681056153.9147332,3900000,221.73902893066406
1681056272.8805897,4000000,215.6355743408203
1681056390.159308,4100000,209.7775421142578
1681056509.8800855,4200000,186.7035675048828
1681056629.9159439,4300000,198.52964782714844
1681056751.1134758,4400000,180.37867736816406
1681056866.8903143,4500000,264.2691345214844
1681056986.8862364,4600000,208.0357208251953
1681057105.239793,4700000,231.0046844482422
1681057222.5702374,4800000,222.57394409179688
1681057342.761156,4900000,174.5470428466797
1681057462.1754415,5000000,198.22579956054688
1681057583.5257168,5100000,341.6027526855469
1681057702.8075595,5200000,403.653076171875
1681057824.2916787,5300000,337.5135192871094
1681057944.5573921,5400000,395.8999938964844
1681058065.4209445,5500000,418.16876220703125
1681058182.5108943,5600000,474.896728515625
1681058303.4926586,5700000,369.579345703125
1681058425.1376972,5800000,335.4352111816406
1681058547.161598,5900000,373.57794189453125
1681058664.1643155,6000000,389.186767578125
1681058785.9645875,6100000,348.9964599609375
1681058907.4785867,6200000,340.8779602050781
1681059027.7771049,6300000,295.4289855957031
1681059150.855296,6400000,299.7207336425781
1681059272.5963767,6500000,315.43988037109375
1681059396.4313486,6600000,290.7683410644531
1681059516.365627,6700000,343.4275817871094
1681059637.5695405,6800000,350.519287109375
1681059759.5952585,6900000,333.076416015625
1681059882.2596586,7000000,325.0711975097656
1681060002.182843,7100000,518.693115234375
1681060124.6707332,7200000,553.0610961914062
1681060248.568936,7300000,499.3266296386719
1681060369.7979343,7400000,561.9944458007812
1681060492.2692652,7500000,608.8711547851562
1681060615.2212772,7600000,576.2457275390625
1681060736.920502,7700000,692.685302734375
1681060858.1863525,7800000,529.9572143554688
1681060982.9158611,7900000,498.69305419921875
1681061106.0665114,8000000,555.6123657226562
1681061229.9668996,8100000,689.1575317382812
1681061352.723978,8200000,677.6849365234375
1681061476.2529747,8300000,703.6549072265625
1681061600.6845794,8400000,711.1286010742188
1681061726.4952395,8500000,699.9929809570312
1681061848.5140557,8600000,663.2715454101562
1681061971.9230385,8700000,806.6774291992188
1681062097.1181228,8800000,675.0
1681062219.4073267,8900000,752.78515625
1681062343.3238218,9000000,752.1666870117188
1681062467.3171864,9100000,788.447998046875
1681062591.8540165,9200000,738.0294189453125
1681062715.953775,9300000,735.5
1681062840.7046986,9400000,732.1448974609375
1681062965.5255299,9500000,686.9370727539062
1681063090.3135712,9600000,759.6616821289062
1681063213.185903,9700000,697.8321533203125
1681063337.3209314,9800000,698.783203125
1681063462.1815531,9900000,762.7633666992188
1681063585.7688744,10000000,696.2657470703125
